id,realtime_start,realtime_end,title,observation_start,observation_end,frequency,frequency_short,units,units_short,seasonal_adjustment,seasonal_adjustment_short,last_updated,popularity,notes
BAMLEMFLFLCRPIUSEY,2023-06-23,2023-06-23,ICE BofA Financial US Emerging Markets Liquid Corporate Plus Index Effective Yield,2003-12-31,2023-06-22,Daily,D,Percent,%,Not Seasonally Adjusted,NSA,2023-06-23 08:55:10-05,1,"This data represents the effective yield of the ICE BofA Financial US Emerging Markets Liquid Corporate Plus Index is a subset of the ICE BofA Emerging Markets Liquid Corporate Plus Index, which includes all Financial securities except the debt of corporate issuers designated as government owned or controlled by ICE BofA emerging markets credit research. The same inclusion rules apply for this series as those that apply for ICE BofA Emerging Markets Liquid Corporate Plus Index (https://fred.stlouisfed.org/series/BAMLEMCLLCRPIUSTRIV?cid=32413). When the last calendar day of the month takes place on the weekend, weekend observations will occur as a result of month ending accrued interest adjustments.

The index data referenced herein is the property of ICE Data Indices, LLC, its affiliates, (""ICE"") and/or its Third Party Suppliers and has been licensed for use by the Federal Reserve Bank of St. Louis. ICE, its affiliates and Third Party Suppliers accept no liability in connection with its use.

Copyright, 2017, ICE Benchmark Administration. Reprinted with permission."
BAMLEMELLCRPIEMEAUSTRIV,2023-06-23,2023-06-23,ICE BofA EMEA US Emerging Markets Liquid Corporate Plus Index Total Return Index Value,2003-12-31,2023-06-22,Daily,D,Index,Index,Not Seasonally Adjusted,NSA,2023-06-23 08:55:10-05,1,"The ICE BofA Europe, the Middle East, and Africa (EMEA) US Emerging Markets Liquid Corporate Plus Index is a subset of the ICE BofA Emerging Markets Liquid Corporate Plus Index, which includes only securities issued by countries associated with the region of Europe, the Middle East and Africa, also including Kazakhstan, Kyrgyzstan, Tajikistan, Turkmenistan, and Uzbekistan. The same inclusion rules apply for this series as those that apply for ICE BofA Emerging Markets Liquid Corporate Plus Index (https://fred.stlouisfed.org/series/BAMLEMCLLCRPIUSTRIV?cid=32413). When the last calendar day of the month takes place on the weekend, weekend observations will occur as a result of month ending accrued interest adjustments.

The index data referenced herein is the property of ICE Data Indices, LLC, its affiliates, (""ICE"") and/or its Third Party Suppliers and has been licensed for use by the Federal Reserve Bank of St. Louis. ICE, its affiliates and Third Party Suppliers accept no liability in connection with its use.

Copyright, 2017, ICE Benchmark Administration. Reprinted with permission."
BAMLEMELLCRPIEMEAUSSYTW,2023-06-23,2023-06-23,ICE BofA EMEA US Emerging Markets Liquid Corporate Plus Index Semi-Annual Yield to Worst,2003-12-31,2023-06-22,"Daily, Close",D,Percent,%,Not Seasonally Adjusted,NSA,2023-06-23 08:55:10-05,1,"This data represents the semi-annual yield to worst of the ICE BofA Europe, the Middle East, and Africa (EMEA) US Emerging Markets Liquid Corporate Plus Index is a subset of the ICE BofA Emerging Markets Liquid Corporate Plus Index, which includes only securities issued by countries associated with the region of Europe, the Middle East and Africa, also including Kazakhstan, Kyrgyzstan, Tajikistan, Turkmenistan, and Uzbekistan. The same inclusion rules apply for this series as those that apply for ICE BofA Emerging Markets Liquid Corporate Plus Index (https://fred.stlouisfed.org/series/BAMLEMCLLCRPIUSTRIV?cid=32413). When the last calendar day of the month takes place on the weekend, weekend observations will occur as a result of month ending accrued interest adjustments.

Yield to worst is the lowest potential yield that a bond can generate without the issuer defaulting. The standard US convention for this series is to use semi-annual coupon payments, whereas the standard in the foreign markets is to use coupon payments with frequencies of annual, semi-annual, quarterly, and monthly.

The index data referenced herein is the property of ICE Data Indices, LLC, its affiliates, (""ICE"") and/or its Third Party Suppliers and has been licensed for use by the Federal Reserve Bank of St. Louis. ICE, its affiliates and Third Party Suppliers accept no liability in connection with its use.

Copyright, 2017, ICE Benchmark Administration. Reprinted with permission."
BAMLEM5BCOCRPISYTW,2023-06-23,2023-06-23,ICE BofA Crossover Emerging Markets Corporate Plus Index Semi-Annual Yield to Worst,1998-12-31,2023-06-22,"Daily, Close",D,Percent,%,Not Seasonally Adjusted,NSA,2023-06-23 08:55:09-05,1,"This data represents the semi-annual yield to worst of the ICE BofA Crossover Emerging Markets Corporate Plus Index is a subset of the ICE BofA Emerging Markets Corporate Plus Index, which includes only securities rated BBB1 through BB3. The same inclusion rules apply for this series as those that apply for ICE BofA Emerging Markets Corporate Plus Index (https://fred.stlouisfed.org/series/BAMLEMCBPITRIV?cid=32413). When the last calendar day of the month takes place on the weekend, weekend observations will occur as a result of month ending accrued interest adjustments.

Yield to worst is the lowest potential yield that a bond can generate without the issuer defaulting. The standard US convention for this series is to use semi-annual coupon payments, whereas the standard in the foreign markets is to use coupon payments with frequencies of annual, semi-annual, quarterly, and monthly.

The index data referenced herein is the property of ICE Data Indices, LLC, its affiliates, (""ICE"") and/or its Third Party Suppliers and has been licensed for use by the Federal Reserve Bank of St. Louis. ICE, its affiliates and Third Party Suppliers accept no liability in connection with its use.

Copyright, 2017, ICE Benchmark Administration. Reprinted with permission."
BAMLEMCLLCRPIUSSYTW,2023-06-23,2023-06-23,ICE BofA US Emerging Markets Liquid Corporate Plus Index Semi-Annual Yield to Worst,2003-12-31,2023-06-22,"Daily, Close",D,Percent,%,Not Seasonally Adjusted,NSA,2023-06-23 08:55:09-05,1,"This data represents the semi-annual yield to worst of the ICE BofA US Emerging Markets Liquid Corporate Plus Index (https://fred.stlouisfed.org/series/BAMLEMCLLCRPIUSTRIV?cid=32413) which tracks the performance of US dollar (USD) denominated emerging markets non-sovereign debt publicly issued in the major domestic and Eurobond markets. To qualify for inclusion in the index, the issuer of debt must have risk exposure to countries other than members of the FX G10 (US, Japan, New Zealand, Australia, Canada, Sweden, UK, Switzerland, Norway, and Euro Currency Members), all Western European countries, and territories of the US and Western European countries. Each security must also be denominated in USD with a time to maturity greater than 1 year until final maturity and have a fixed coupon. For inclusion in the index, investment grade rated bonds of qualifying issuers must have at least $500 million in outstanding face value, and below investment grade rated bonds must have at least $300 million in outstanding face value. The index includes corporate and quasi-government debt of qualifying countries, but excludes sovereign and supranational debt. Other types of securities acceptable for inclusion in this index are: original issue zero coupon bonds, ""global"" securities (debt issued in the US domestic bond markets as well the Eurobond Market simultaneously), 144a securities, pay-in-kind securities (includes toggle notes), callable perpetual securities (qualify if they are at least one year from the first call date), fixed-t-floating rate securities (qualify if the securities are callable within the fixed rate period and are at least one year from the last call prior to the date the bond transitions from a fixed to a floating rate security). Defaulted securities are excluded from the Index.

ICE BofA Explains the Construction Methodology of this series as:
Index constituents are capitalization-weighted based on their current amount outstanding times the market price plus accrued interest, subject to a 10% country of risk cap and a 2% issuer cap. Countries and issuers that exceed the limits are reduced to 10% and 2%, respectively, and the face value of each of their bonds is adjusted on a pro-rata basis. Similarly, the face values of bonds of all other countries and issuers that fall below their respective caps are increased on a pro-rata basis. In the event there are fewer than 10 countries in the Index, or fewer than 50 issuers, each is equally weighted and the face values of their respective bonds are increased or decreased on a pro-rata basis. Accrued interest is calculated assuming next-day settlement. Cash flows from bond payments that are received during the month are retained in the index until the end of the month and then are removed as part of the rebalancing. Cash does not earn any reinvestment income while it is held in the Index. The Index is rebalanced on the last calendar day of the month, based on information available up to and including the third business day before the last business day of the month. Issues that meet the qualifying criteria are included in the Index for the following month. Issues that no longer meet the criteria during the course of the month remain in the Index until the next month-end rebalancing at which point they are removed from the Index.

Yield to worst is the lowest potential yield that a bond can generate without the issuer defaulting. The standard US convention for this series is to use semi-annual coupon payments, whereas the standard in the foreign markets is to use coupon payment frequencies of annual, semi-annual, quarterly, and monthly. When the last calendar day of the month takes place on the weekend, weekend observations will occur as a result of month ending accrued interest adjustments.

The index data referenced herein is the property of ICE Data Indices, LLC, its affiliates, (""ICE"") and/or its Third Party Suppliers and has been licensed for use by the Federal Reserve Bank of St. Louis. ICE, its affiliates and Third Party Suppliers accept no liability in connection with its use.

Copyright, 2017, ICE Benchmark Administration. Reprinted with permission."
BAMLEMALLCRPIASIAUSSYTW,2023-06-23,2023-06-23,ICE BofA Asia US Emerging Markets Liquid Corporate Plus Index Semi-Annual Yield to Worst,2003-12-31,2023-06-22,"Daily, Close",D,Percent,%,Not Seasonally Adjusted,NSA,2023-06-23 08:55:09-05,1,"This data represents the semi-annual yield to worst of the ICE BofA Asia US Emerging Markets Liquid Corporate Plus Index is a subset of the ICE BofA Emerging Markets Liquid Corporate Plus Index, which includes only securities issued by countries associated with the region of Asia, excluding Kazakhstan, Kyrgyzstan, Tajikistan, Turkmenistan, and Uzbekistan. The same inclusion rules apply for this series as those that apply for ICE BofA Emerging Markets Liquid Corporate Plus Index (https://fred.stlouisfed.org/series/BAMLEMCLLCRPIUSTRIV?cid=32413). When the last calendar day of the month takes place on the weekend, weekend observations will occur as a result of month ending accrued interest adjustments.

Yield to worst is the lowest potential yield that a bond can generate without the issuer defaulting. The standard US convention for this series is to use semi-annual coupon payments, whereas the standard in the foreign markets is to use coupon payments with frequencies of annual, semi-annual, quarterly, and monthly.

The index data referenced herein is the property of ICE Data Indices, LLC, its affiliates, (""ICE"") and/or its Third Party Suppliers and has been licensed for use by the Federal Reserve Bank of St. Louis. ICE, its affiliates and Third Party Suppliers accept no liability in connection with its use.

Copyright, 2017, ICE Benchmark Administration. Reprinted with permission."
BAMLEM5BCOCRPITRIV,2023-06-23,2023-06-23,ICE BofA Crossover Emerging Markets Corporate Plus Index Total Return Index Value,1998-12-31,2023-06-22,Daily,D,Index,Index,Not Seasonally Adjusted,NSA,2023-06-23 08:55:09-05,1,"The ICE BofA Crossover Emerging Markets Corporate Plus Index is a subset of the ICE BofA Emerging Markets Corporate Plus Index, which includes only securities rated BBB1 through BB3. The same inclusion rules apply for this series as those that apply for ICE BofA Emerging Markets Corporate Plus Index (https://fred.stlouisfed.org/series/BAMLEMCBPITRIV?cid=32413). When the last calendar day of the month takes place on the weekend, weekend observations will occur as a result of month ending accrued interest adjustments.

The index data referenced herein is the property of ICE Data Indices, LLC, its affiliates, (""ICE"") and/or its Third Party Suppliers and has been licensed for use by the Federal Reserve Bank of St. Louis. ICE, its affiliates and Third Party Suppliers accept no liability in connection with its use.

Copyright, 2017, ICE Benchmark Administration. Reprinted with permission."
BAMLEM5BCOCRPIOAS,2023-06-23,2023-06-23,ICE BofA Crossover Emerging Markets Corporate Plus Index Option-Adjusted Spread,1998-12-31,2023-06-22,Daily,D,Percent,%,Not Seasonally Adjusted,NSA,2023-06-23 08:55:09-05,1,"This data represents the Option-Adjusted Spread (OAS) for the ICE BofA Crossover Emerging Markets Corporate Plus Index is a subset of the ICE BofA Emerging Markets Corporate Plus Index, which includes only securities rated BBB1 through BB3. The same inclusion rules apply for this series as those that apply for ICE BofA Emerging Markets Corporate Plus Index (https://fred.stlouisfed.org/series/BAMLEMCBPITRIV?cid=32413).

The ICE BofA OASs are the calculated spreads between a computed OAS index of all bonds in a given rating category and a spot Treasury curve. An OAS index is constructed using each constituent bond's OAS, weighted by market capitalization. When the last calendar day of the month takes place on the weekend, weekend observations will occur as a result of month ending accrued interest adjustments.

The index data referenced herein is the property of ICE Data Indices, LLC, its affiliates, (""ICE"") and/or its Third Party Suppliers and has been licensed for use by the Federal Reserve Bank of St. Louis. ICE, its affiliates and Third Party Suppliers accept no liability in connection with its use.

Copyright, 2017, ICE Benchmark Administration. Reprinted with permission."
BAMLEM4RBLLCRPIUSOAS,2023-06-23,2023-06-23,ICE BofA B & Lower US Emerging Markets Liquid Corporate Plus Index Option-Adjusted Spread,2003-12-31,2023-06-22,Daily,D,Percent,%,Not Seasonally Adjusted,NSA,2023-06-23 08:55:08-05,1,"This data represents the Option-Adjusted Spread (OAS) for the ICE BofA B and Lower US Emerging Markets Liquid Corporate Plus Index is a subset of the ICE BofA Emerging Markets Liquid Corporate Plus Index, which includes only securities rated B1 or lower. The same inclusion rules apply for this series as those that apply for ICE BofA Emerging Markets Liquid Corporate Plus Index (https://fred.stlouisfed.org/series/BAMLEMCLLCRPIUSTRIV?cid=32413).

The ICE BofA OASs are the calculated spreads between a computed OAS index of all bonds in a given rating category and a spot Treasury curve. An OAS index is constructed using each constituent bond's OAS, weighted by market capitalization. When the last calendar day of the month takes place on the weekend, weekend observations will occur as a result of month ending accrued interest adjustments.

The index data referenced herein is the property of ICE Data Indices, LLC, its affiliates, (""ICE"") and/or its Third Party Suppliers and has been licensed for use by the Federal Reserve Bank of St. Louis. ICE, its affiliates and Third Party Suppliers accept no liability in connection with its use.

Copyright, 2017, ICE Benchmark Administration. Reprinted with permission."
BAMLEM5BCOCRPIEY,2023-06-23,2023-06-23,ICE BofA Crossover Emerging Markets Corporate Plus Index Effective Yield,1998-12-31,2023-06-22,Daily,D,Percent,%,Not Seasonally Adjusted,NSA,2023-06-23 08:55:08-05,1,"This data represents the effective yield of the ICE BofA Crossover Emerging Markets Corporate Plus Index is a subset of the ICE BofA Emerging Markets Corporate Plus Index, which includes only securities rated BBB1 through BB3. The same inclusion rules apply for this series as those that apply for ICE BofA Emerging Markets Corporate Plus Index (https://fred.stlouisfed.org/series/BAMLEMCBPITRIV?cid=32413). When the last calendar day of the month takes place on the weekend, weekend observations will occur as a result of month ending accrued interest adjustments.

The index data referenced herein is the property of ICE Data Indices, LLC, its affiliates, (""ICE"") and/or its Third Party Suppliers and has been licensed for use by the Federal Reserve Bank of St. Louis. ICE, its affiliates and Third Party Suppliers accept no liability in connection with its use.

Copyright, 2017, ICE Benchmark Administration. Reprinted with permission."
BAMLEM4RBLLCRPIUSTRIV,2023-06-23,2023-06-23,ICE BofA B & Lower US Emerging Markets Liquid Corporate Plus Index Total Return Index Value,2003-12-31,2023-06-22,Daily,D,Index,Index,Not Seasonally Adjusted,NSA,2023-06-23 08:55:08-05,1,"The ICE BofA B and Lower US Emerging Markets Liquid Corporate Plus Index is a subset of the ICE BofA Emerging Markets Liquid Corporate Plus Index, which includes only securities rated B1 or lower. The same inclusion rules apply for this series as those that apply for ICE BofA Emerging Markets Liquid Corporate Plus Index (https://fred.stlouisfed.org/series/BAMLEMCLLCRPIUSTRIV?cid=32413). When the last calendar day of the month takes place on the weekend, weekend observations will occur as a result of month ending accrued interest adjustments.

The index data referenced herein is the property of ICE Data Indices, LLC, its affiliates, (""ICE"") and/or its Third Party Suppliers and has been licensed for use by the Federal Reserve Bank of St. Louis. ICE, its affiliates and Third Party Suppliers accept no liability in connection with its use.

Copyright, 2017, ICE Benchmark Administration. Reprinted with permission."
BAMLEM4RBLLCRPIUSSYTW,2023-06-23,2023-06-23,ICE BofA B & Lower US Emerging Markets Liquid Corporate Plus Index Semi-Annual Yield to Worst,2003-12-31,2023-06-22,"Daily, Close",D,Percent,%,Not Seasonally Adjusted,NSA,2023-06-23 08:55:08-05,1,"This data represents the semi-annual yield to worst of the ICE BofA B and Lower US Emerging Markets Liquid Corporate Plus Index is a subset of the ICE BofA Emerging Markets Liquid Corporate Plus Index, which includes only securities rated B1 or lower. The same inclusion rules apply for this series as those that apply for ICE BofA Emerging Markets Liquid Corporate Plus Index (https://fred.stlouisfed.org/series/BAMLEMCLLCRPIUSTRIV?cid=32413). When the last calendar day of the month takes place on the weekend, weekend observations will occur as a result of month ending accrued interest adjustments.

Yield to worst is the lowest potential yield that a bond can generate without the issuer defaulting. The standard US convention for this series is to use semi-annual coupon payments, whereas the standard in the foreign markets is to use coupon payments with frequencies of annual, semi-annual, quarterly, and monthly.

The index data referenced herein is the property of ICE Data Indices, LLC, its affiliates, (""ICE"") and/or its Third Party Suppliers and has been licensed for use by the Federal Reserve Bank of St. Louis. ICE, its affiliates and Third Party Suppliers accept no liability in connection with its use.

Copyright, 2017, ICE Benchmark Administration. Reprinted with permission."
BAMLEM4BRRBLCRPITRIV,2023-06-23,2023-06-23,ICE BofA B & Lower Emerging Markets Corporate Plus Index Total Return Index Value,1998-12-31,2023-06-22,Daily,D,Index,Index,Not Seasonally Adjusted,NSA,2023-06-23 08:55:08-05,1,"The ICE BofA B and Lower Emerging Markets Corporate Plus Index is a subset of the ICE BofA Emerging Markets Corporate Plus Index, which includes only securities rated B1 or lower. The same inclusion rules apply for this series as those that apply for ICE BofA Emerging Markets Corporate Plus Index (https://fred.stlouisfed.org/series/BAMLEMCBPITRIV?cid=32413). When the last calendar day of the month takes place on the weekend, weekend observations will occur as a result of month ending accrued interest adjustments.

The index data referenced herein is the property of ICE Data Indices, LLC, its affiliates, (""ICE"") and/or its Third Party Suppliers and has been licensed for use by the Federal Reserve Bank of St. Louis. ICE, its affiliates and Third Party Suppliers accept no liability in connection with its use.

Copyright, 2017, ICE Benchmark Administration. Reprinted with permission."
BAMLEMCLLCRPIUSEY,2023-06-23,2023-06-23,ICE BofA US Emerging Markets Liquid Corporate Plus Index Effective Yield,2003-12-31,2023-06-22,Daily,D,Percent,%,Not Seasonally Adjusted,NSA,2023-06-23 08:55:07-05,2,"This data represents the effective yield of the ICE BofA US Emerging Markets Liquid Corporate Plus Index (https://fred.stlouisfed.org/series/BAMLEMCLLCRPIUSTRIV?cid=32413) which tracks the performance of US dollar (USD) denominated emerging markets non-sovereign debt publicly issued in the major domestic and Eurobond markets. To qualify for inclusion in the index, the issuer of debt must have risk exposure to countries other than members of the FX G10 (US, Japan, New Zealand, Australia, Canada, Sweden, UK, Switzerland, Norway, and Euro Currency Members), all Western European countries, and territories of the US and Western European countries. Each security must also be denominated in USD with a time to maturity greater than 1 year until final maturity and have a fixed coupon. For inclusion in the index, investment grade rated bonds of qualifying issuers must have at least $500 million in outstanding face value, and below investment grade rated bonds must have at least $300 million in outstanding face value. The index includes corporate and quasi-government debt of qualifying countries, but excludes sovereign and supranational debt. Other types of securities acceptable for inclusion in this index are: original issue zero coupon bonds, ""global"" securities (debt issued in the US domestic bond markets as well the Eurobond Market simultaneously), 144a securities, pay-in-kind securities (includes toggle notes), callable perpetual securities (qualify if they are at least one year from the first call date), fixed-t-floating rate securities (qualify if the securities are callable within the fixed rate period and are at least one year from the last call prior to the date the bond transitions from a fixed to a floating rate security). Defaulted securities are excluded from the Index.

ICE BofA Explains the Construction Methodology of this series as:
Index constituents are capitalization-weighted based on their current amount outstanding times the market price plus accrued interest, subject to a 10% country of risk cap and a 2% issuer cap. Countries and issuers that exceed the limits are reduced to 10% and 2%, respectively, and the face value of each of their bonds is adjusted on a pro-rata basis. Similarly, the face values of bonds of all other countries and issuers that fall below their respective caps are increased on a pro-rata basis. In the event there are fewer than 10 countries in the Index, or fewer than 50 issuers, each is equally weighted and the face values of their respective bonds are increased or decreased on a pro-rata basis. Accrued interest is calculated assuming next-day settlement. Cash flows from bond payments that are received during the month are retained in the index until the end of the month and then are removed as part of the rebalancing. Cash does not earn any reinvestment income while it is held in the Index. The Index is rebalanced on the last calendar day of the month, based on information available up to and including the third business day before the last business day of the month. Issues that meet the qualifying criteria are included in the Index for the following month. Issues that no longer meet the criteria during the course of the month remain in the Index until the next month-end rebalancing at which point they are removed from the Index.
When the last calendar day of the month takes place on the weekend, weekend observations will occur as a result of month ending accrued interest adjustments.

The index data referenced herein is the property of ICE Data Indices, LLC, its affiliates, (""ICE"") and/or its Third Party Suppliers and has been licensed for use by the Federal Reserve Bank of St. Louis. ICE, its affiliates and Third Party Suppliers accept no liability in connection with its use.

Copyright, 2017, ICE Benchmark Administration. Reprinted with permission."
BAMLEMEBCRPIESYTW,2023-06-23,2023-06-23,ICE BofA Euro Emerging Markets Corporate Plus Index Semi-Annual Yield to Worst,1998-12-31,2023-06-22,"Daily, Close",D,Percent,%,Not Seasonally Adjusted,NSA,2023-06-23 08:55:07-05,2,"This data represents the semi-annual yield to worst of the ICE BofA Euro Emerging Markets Corporate Plus Index is a subset of the ICE BofA Emerging Markets Corporate Plus Index, which includes only securities denominated in Euros. The same inclusion rules apply for this series as those that apply for ICE BofA Emerging Markets Corporate Plus Index (https://fred.stlouisfed.org/series/BAMLEMCBPITRIV?cid=32413). When the last calendar day of the month takes place on the weekend, weekend observations will occur as a result of month ending accrued interest adjustments.

Yield to worst is the lowest potential yield that a bond can generate without the issuer defaulting. The standard US convention for this series is to use semi-annual coupon payments, whereas the standard in the foreign markets is to use coupon payments with frequencies of annual, semi-annual, quarterly, and monthly.

The index data referenced herein is the property of ICE Data Indices, LLC, its affiliates, (""ICE"") and/or its Third Party Suppliers and has been licensed for use by the Federal Reserve Bank of St. Louis. ICE, its affiliates and Third Party Suppliers accept no liability in connection with its use.

Copyright, 2017, ICE Benchmark Administration. Reprinted with permission."
BAMLEMCLLCRPIUSOAS,2023-06-23,2023-06-23,ICE BofA US Emerging Markets Liquid Corporate Plus Index Option-Adjusted Spread,2003-12-31,2023-06-22,Daily,D,Percent,%,Not Seasonally Adjusted,NSA,2023-06-23 08:55:07-05,2,"This data represents the Option-Adjusted Spread (OAS) for the ICE BofA US Emerging Markets Liquid Corporate Plus Index (https://fred.stlouisfed.org/series/BAMLEMCLLCRPIUSTRIV?cid=32413) which tracks the performance of US dollar (USD) denominated emerging markets non-sovereign debt publicly issued in the major domestic and Eurobond markets. To qualify for inclusion in the index, the issuer of debt must have risk exposure to countries other than members of the FX G10 (US, Japan, New Zealand, Australia, Canada, Sweden, UK, Switzerland, Norway, and Euro Currency Members), all Western European countries, and territories of the US and Western European countries. Each security must also be denominated in USD with a time to maturity greater than 1 year until final maturity and have a fixed coupon. For inclusion in the index, investment grade rated bonds of qualifying issuers must have at least $500 million in outstanding face value, and below investment grade rated bonds must have at least $300 million in outstanding face value. The index includes corporate and quasi-government debt of qualifying countries, but excludes sovereign and supranational debt. Other types of securities acceptable for inclusion in this index are: original issue zero coupon bonds, ""global"" securities (debt issued in the US domestic bond markets as well the Eurobond Market simultaneously), 144a securities, pay-in-kind securities (includes toggle notes), callable perpetual securities (qualify if they are at least one year from the first call date), fixed-t-floating rate securities (qualify if the securities are callable within the fixed rate period and are at least one year from the last call prior to the date the bond transitions from a fixed to a floating rate security). Defaulted securities are excluded from the Index.

ICE BofA Explains the Construction Methodology of this series as:
Index constituents are capitalization-weighted based on their current amount outstanding times the market price plus accrued interest, subject to a 10% country of risk cap and a 2% issuer cap. Countries and issuers that exceed the limits are reduced to 10% and 2%, respectively, and the face value of each of their bonds is adjusted on a pro-rata basis. Similarly, the face values of bonds of all other countries and issuers that fall below their respective caps are increased on a pro-rata basis. In the event there are fewer than 10 countries in the Index, or fewer than 50 issuers, each is equally weighted and the face values of their respective bonds are increased or decreased on a pro-rata basis. Accrued interest is calculated assuming next-day settlement. Cash flows from bond payments that are received during the month are retained in the index until the end of the month and then are removed as part of the rebalancing. Cash does not earn any reinvestment income while it is held in the Index. The Index is rebalanced on the last calendar day of the month, based on information available up to and including the third business day before the last business day of the month. Issues that meet the qualifying criteria are included in the Index for the following month. Issues that no longer meet the criteria during the course of the month remain in the Index until the next month-end rebalancing at which point they are removed from the Index.

The ICE BofA OASs are the calculated spreads between a computed OAS index of all bonds in a given rating category and a spot Treasury curve. An OAS index is constructed using each constituent bond's OAS, weighted by market capitalization. When the last calendar day of the month takes place on the weekend, weekend observations will occur as a result of month ending accrued interest adjustments. When the last calendar day of the month takes place on the weekend, weekend observations will occur as a result of month ending accrued interest adjustments.

The index data referenced herein is the property of ICE Data Indices, LLC, its affiliates, (""ICE"") and/or its Third Party Suppliers and has been licensed for use by the Federal Reserve Bank of St. Louis. ICE, its affiliates and Third Party Suppliers accept no liability in connection with its use.

Copyright, 2017, ICE Benchmark Administration. Reprinted with permission."
BAMLEMALLCRPIASIAUSEY,2023-06-23,2023-06-23,ICE BofA Asia US Emerging Markets Liquid Corporate Plus Index Effective Yield,2003-12-31,2023-06-22,Daily,D,Percent,%,Not Seasonally Adjusted,NSA,2023-06-23 08:55:07-05,2,"This data represents the effective yield of the ICE BofA Asia US Emerging Markets Liquid Corporate Plus Index is a subset of the ICE BofA Emerging Markets Liquid Corporate Plus Index, which includes only securities issued by countries associated with the region of Asia, excluding Kazakhstan, Kyrgyzstan, Tajikistan, Turkmenistan, and Uzbekistan. The same inclusion rules apply for this series as those that apply for ICE BofA Emerging Markets Liquid Corporate Plus Index (https://fred.stlouisfed.org/series/BAMLEMCLLCRPIUSTRIV?cid=32413). When the last calendar day of the month takes place on the weekend, weekend observations will occur as a result of month ending accrued interest adjustments.

The index data referenced herein is the property of ICE Data Indices, LLC, its affiliates, (""ICE"") and/or its Third Party Suppliers and has been licensed for use by the Federal Reserve Bank of St. Louis. ICE, its affiliates and Third Party Suppliers accept no liability in connection with its use.

Copyright, 2017, ICE Benchmark Administration. Reprinted with permission."
BAMLEMCBPISYTW,2023-06-23,2023-06-23,ICE BofA Emerging Markets Corporate Plus Index Semi-Annual Yield to Worst,1998-12-31,2023-06-22,"Daily, Close",D,Percent,%,Not Seasonally Adjusted,NSA,2023-06-23 08:55:06-05,3,"This data represents the semi-annual yield to worst of the ICE BofA Emerging Markets Corporate Plus Index (https://fred.stlouisfed.org/series/BAMLEMCBPITRIV?cid=32413), which tracks the performance of US dollar (USD) and Euro denominated emerging markets non-sovereign debt publicly issued within the major domestic and Eurobond markets. To qualify for inclusion in the index, the issuer of debt must have risk exposure to countries other than members of the FX G10 (US, Japan, New Zealand, Australia, Canada, Sweden, UK, Switzerland, Norway, and Euro Currency Members), all Western European countries, and territories of the US and Western European countries. Each security must also be denominated in USD or Euro with a time to maturity greater than 1 year and have a fixed coupon. For inclusion in the index, investment grade rated bonds of qualifying issuers must have at least 250 million (Euro or USD) in outstanding face value, and below investment grade rated bonds must have at least 100 million (Euro or USD) in outstanding face value. The index includes corporate and quasi-government debt of qualifying countries, but excludes sovereign and supranational debt. Other types of securities acceptable for inclusion in this index are: original issue zero coupon bonds, ""global"" securities (debt issued in the US domestic bond markets as well the Eurobond Market simultaneously), 144a securities, pay-in-kind securities (includes toggle notes), callable perpetual securities (qualify if they are at least one year from the first call date), fixed-to-floating rate securities (qualify if the securities are callable within the fixed rate period and are at least one year from the last call prior to the date the bond transitions from a fixed to a floating rate security). Defaulted securities are excluded from the Index.
ICE BofA Explains the Construction Methodology of this series as:
Index constituents are capitalization-weighted based on their current amount outstanding. With the exception of US mortgage pass-throughs and US structured products (ABS, CMBS and CMOs), accrued interest is calculated assuming next-day settlement. Accrued interest for US mortgage pass-through and US structured products is calculated assuming same-day settlement. Cash flows from bond payments that are received during the month are retained in the index until the end of the month and then are removed as part of the rebalancing. Cash does not earn any reinvestment income while it is held in the Index. The Index is rebalanced on the last calendar day of the month, based on information available up to and including the third business day before the last business day of the month. Issues that meet the qualifying criteria are included in the Index for the following month. Issues that no longer meet the criteria during the course of the month remain in the Index until the next month-end rebalancing at which point they are removed from the Index.

Yield to worst is the lowest potential yield that a bond can generate without the issuer defaulting. The standard US convention for this series is to use semi-annual coupon payments, whereas the standard in the foreign markets is to use coupon payment frequencies of annual, semi-annual, quarterly, and monthly. When the last calendar day of the month takes place on the weekend, weekend observations will occur as a result of month ending accrued interest adjustments.

The index data referenced herein is the property of ICE Data Indices, LLC, its affiliates, (""ICE"") and/or its Third Party Suppliers and has been licensed for use by the Federal Reserve Bank of St. Louis. ICE, its affiliates and Third Party Suppliers accept no liability in connection with its use.

Copyright, 2017, ICE Benchmark Administration. Reprinted with permission."
